Device_Type,Environment_Type,Weather_Condition,Distance,Transmission_Power,Frequency_Channel,Packet_Size,Battery_Level,RSSI,SNR,Delivery_Success,Energy_Cost,Bandwidth,Spreading_Factor,Coding_Rate,Data_Rate,Channel_Occupancy,Interference_Power,Interference_Duration,Interference_Density,Packet_Collision_Rate,Retransmission_Count,Packet_Loss_Rate,Latency,Jitter,Propagation_Delay,Gateway_Distance,Gateway_Signal_Quality,Gateway_Load,Battery_Voltage,Device_Temperature,Ambient_Temperature,Ambient_Humidity,Atmospheric_Pressure,Wind_Speed,Rainfall,Terrain_Obstruction,Node_Density,Network_Congestion,Channel_Switch_Count,Connection_Attempt_Count,Acknowledgment_Rate
Industrial_Node,Urban,Rain,6.999,22.28,868,155,74.56,-35.0,16.87,Success,3.114,31.25,7,4/8,53.792,44.45,-97.14,348.15,0.478,7.7,2,3.04,88.57,15.6,0.0234,7.341,87.46,28.91,3.903,38.91,38.69,81.58,1012.68,2.06,1.2,0.952,162.15,39.06,4,5,98.49
Industrial_Node,Suburban,Clear,9.784,23.77,923,26,69.43,-40.55,20.0,Success,2.383,250.0,11,4/7,52.221,44.76,-71.53,499.31,0.585,12.97,2,6.35,96.24,1.87,0.0327,10.505,96.46,69.33,3.793,38.29,32.07,42.35,998.91,18.11,0.67,0.972,59.93,26.06,6,2,100.0
Environmental_Node,Urban,Rain,23.751,16.44,923,246,53.53,-73.6,14.4,Failure,3.838,62.5,8,4/6,57.715,79.19,-77.3,116.55,0.264,5.32,0,3.09,131.41,17.63,0.0793,24.259,78.68,54.74,3.544,22.32,22.1,53.88,1017.71,19.38,6.04,0.472,89.98,52.66,0,4,100.0
Tracking_Device,Rural,Heavy_Rain,11.493,28.02,915,138,82.44,-35.58,18.76,Success,3.62,250.0,12,4/7,36.794,6.89,-89.2,139.88,0.786,24.49,0,17.5,76.12,8.56,0.0384,12.838,100.0,56.53,3.949,62.2,28.41,74.4,1029.07,0.64,7.6,0.84,467.95,37.17,7,4,94.82
Industrial_Node,Suburban,Cloudy,11.066,19.04,470,51,65.38,-45.24,17.56,Success,2.188,31.25,7,4/6,33.9,13.16,-78.19,97.53,0.761,25.52,1,14.51,90.74,7.98,0.037,13.063,87.92,12.05,3.62,55.69,18.74,73.11,1009.19,10.59,1.13,0.942,382.51,50.12,0,3,100.0
Smart_Meter,Urban,Clear,29.965,20.27,923,105,30.41,-77.05,15.99,Failure,2.955,7.8,12,4/6,4.279,35.44,-83.78,138.86,0.125,7.37,1,0.0,105.59,8.84,0.1001,31.568,71.52,63.24,3.257,60.06,29.65,89.66,1029.49,19.21,1.22,0.452,31.08,30.8,3,2,100.0
Environmental_Node,Suburban,Cloudy,11.822,28.98,470,41,36.17,-44.69,20.0,Success,2.489,7.8,8,4/6,18.854,15.95,-74.75,54.76,0.039,3.02,3,0.0,115.38,30.0,0.0395,13.477,100.0,11.92,3.279,55.1,23.44,84.39,1007.82,2.61,0.52,0.124,325.02,10.59,2,2,100.0
Smart_Meter,Urban,Windy,7.809,29.59,433,237,84.43,-35.0,20.0,Success,4.575,15.6,10,4/6,21.905,39.31,-54.52,421.04,0.154,8.13,1,1.34,102.03,16.81,0.0261,8.33,91.2,11.16,4.011,55.83,30.46,90.38,1004.52,10.36,1.88,0.576,398.47,47.37,9,7,100.0
Smart_Meter,Suburban,Clear,18.885,23.23,433,134,94.71,-54.41,19.99,Success,3.135,125.0,7,4/6,30.481,24.06,-89.97,82.24,0.659,20.39,2,11.24,107.1,0.79,0.0631,19.177,93.97,19.27,4.195,32.14,18.82,54.43,1015.41,0.73,4.18,0.865,13.96,20.72,4,1,96.33
Sensor_Node,Urban,Clear,24.155,28.9,923,183,59.32,-63.52,18.09,Failure,4.018,15.6,10,4/7,7.819,93.41,-85.16,191.9,0.27,12.66,0,3.16,116.21,12.68,0.0807,25.287,79.61,37.15,3.627,45.95,19.2,97.5,1006.32,5.0,4.64,0.498,291.3,57.56,5,1,100.0
Sensor_Node,Suburban,Clear,2.553,20.83,915,48,44.7,-35.0,17.72,Success,2.397,7.8,8,4/6,32.39,51.77,-92.62,286.8,0.484,13.91,1,6.2,63.82,27.38,0.0085,3.862,93.28,70.2,3.426,38.29,23.14,95.51,1035.84,9.6,2.71,0.8,268.74,54.07,8,5,96.4
Tracking_Device,Urban,Foggy,18.757,16.15,433,215,66.25,-57.71,16.98,Success,3.424,31.25,7,4/7,16.184,61.72,-72.59,428.93,0.806,28.33,2,14.39,134.85,19.87,0.0626,19.273,87.59,21.86,3.735,15.26,14.52,79.01,1027.89,13.69,2.18,0.572,96.53,30.57,2,4,94.31
Environmental_Node,Rural,Cloudy,1.554,16.3,470,242,53.52,-35.0,20.0,Success,3.808,62.5,10,4/5,58.2,78.86,-84.07,65.2,0.426,16.2,0,7.48,91.99,14.76,0.0052,2.316,100.0,92.26,3.584,50.07,43.16,36.28,1000.88,12.05,8.89,0.827,95.36,42.0,3,6,100.0
Industrial_Node,Industrial,Clear,16.027,21.18,923,105,85.75,-57.23,17.46,Success,2.724,62.5,7,4/8,12.785,51.09,-84.0,323.59,0.499,12.5,1,5.97,106.7,7.97,0.0535,18.022,81.51,65.95,3.993,24.96,27.0,48.69,1011.66,4.22,2.51,0.426,266.07,35.53,8,7,100.0
Smart_Meter,Industrial,Windy,8.081,22.1,923,208,84.97,-35.47,15.05,Success,3.855,250.0,12,4/7,10.856,45.38,-85.84,411.17,0.059,2.15,0,0.0,104.4,5.57,0.027,8.58,90.01,79.43,3.948,39.66,29.23,49.46,1014.3,1.73,0.91,0.84,237.3,49.25,3,7,94.67
Sensor_Node,Urban,Rain,9.546,18.79,915,140,51.05,-38.37,20.0,Success,2.905,125.0,8,4/5,31.104,57.82,-87.26,436.33,0.87,34.39,1,14.6,113.61,20.75,0.0319,10.464,100.0,31.49,3.514,64.19,18.53,86.19,1005.14,5.09,1.42,0.204,99.83,31.6,6,6,100.0
Sensor_Node,Rural,Clear,14.279,27.68,923,72,82.41,-48.49,20.0,Success,3.441,31.25,8,4/6,55.575,18.94,-86.72,459.85,0.025,9.04,2,1.03,94.57,19.72,0.0477,15.842,82.79,62.5,3.972,27.76,43.59,80.87,1020.46,1.55,1.29,0.421,253.71,24.1,0,6,100.0
Smart_Meter,Urban,Foggy,27.85,18.53,868,91,27.37,-87.75,8.51,Failure,2.326,250.0,9,4/8,7.092,78.06,-85.49,37.96,0.397,23.49,1,8.29,122.81,11.44,0.093,28.552,61.3,77.89,3.124,69.07,30.25,26.83,1001.91,13.68,12.42,0.846,21.17,43.82,9,5,93.49
Industrial_Node,Industrial,Rain,21.465,15.47,470,104,43.65,-66.35,15.52,Failure,2.57,250.0,12,4/8,55.103,62.23,-74.93,233.36,0.656,31.36,1,15.9,116.98,22.16,0.0717,23.248,80.84,54.52,3.366,58.14,15.54,87.79,1018.23,0.24,0.86,0.029,66.7,26.06,1,6,95.17
Environmental_Node,Urban,Cloudy,28.137,10.16,868,34,17.16,-95.35,12.91,Failure,1.689,15.6,10,4/7,6.915,89.13,-73.64,218.78,0.292,12.56,1,2.52,117.39,25.63,0.094,29.479,63.0,84.29,3.039,63.94,31.19,84.09,1009.82,7.73,3.24,0.014,82.02,47.87,2,7,100.0
Industrial_Node,Suburban,Cloudy,19.969,29.41,868,146,82.7,-53.36,12.9,Failure,3.746,15.6,12,4/8,10.734,72.42,-80.59,2.59,0.591,26.04,0,2.08,116.7,11.82,0.0667,21.31,75.18,53.83,3.998,16.93,33.34,57.19,1018.67,17.55,1.88,0.836,454.95,90.79,1,3,90.15
Smart_Meter,Urban,Windy,0.71,26.49,470,195,97.77,-35.0,20.0,Success,3.667,31.25,8,4/7,9.923,31.08,-69.03,363.87,0.31,8.95,0,3.82,64.47,27.03,0.0024,1.799,93.59,48.93,4.185,43.41,11.43,20.9,1019.75,9.28,8.63,0.276,378.15,44.91,7,5,100.0
Tracking_Device,Urban,Clear,8.335,22.31,923,137,61.91,-35.0,20.0,Success,3.047,7.8,8,4/5,14.203,79.0,-76.34,381.81,0.721,22.12,1,9.43,93.24,2.14,0.0278,10.216,100.0,27.62,3.606,54.76,17.21,76.83,1021.98,0.8,0.36,0.395,143.57,58.27,4,3,100.0
Environmental_Node,Urban,Clear,27.22,26.61,923,201,78.98,-69.34,9.28,Failure,3.692,15.6,7,4/8,45.193,13.78,-87.66,109.96,0.466,17.75,0,5.94,134.06,17.93,0.0909,28.052,74.64,86.74,3.944,38.99,28.84,50.07,1008.8,3.5,4.27,0.397,213.55,32.89,6,1,100.0
Industrial_Node,Industrial,Clear,19.482,26.21,868,87,46.14,-58.84,17.5,Success,3.011,31.25,11,4/8,25.771,15.52,-74.12,429.39,0.582,15.79,0,3.51,103.29,2.95,0.0651,20.01,85.32,65.71,3.537,32.72,34.21,47.78,1014.49,6.17,2.3,0.23,178.88,31.45,7,5,100.0
Industrial_Node,Urban,Heavy_Rain,29.459,28.64,470,88,60.54,-74.42,10.56,Failure,3.327,62.5,11,4/5,48.78,86.06,-73.58,158.86,0.657,17.44,3,6.19,136.83,15.19,0.0984,30.013,70.12,56.5,3.62,27.81,42.7,55.61,1021.35,14.23,3.96,0.092,81.83,59.41,4,6,96.9
Smart_Meter,Industrial,Rain,5.101,17.72,433,119,41.26,-35.0,15.78,Success,2.714,125.0,10,4/5,20.03,19.01,-80.46,156.37,0.562,13.5,0,2.98,78.18,12.05,0.017,6.853,92.25,46.54,3.398,45.59,27.01,98.01,1011.41,9.02,0.4,0.176,452.1,44.6,6,2,97.69
Sensor_Node,Suburban,Rain,9.254,21.1,470,211,72.72,-36.96,20.0,Success,3.794,125.0,9,4/8,28.42,12.95,-84.53,279.97,0.761,11.0,3,4.96,123.72,10.54,0.0309,10.489,93.82,54.24,3.741,64.85,13.51,27.78,997.34,17.58,0.89,0.966,457.98,45.58,1,5,100.0
Smart_Meter,Rural,Clear,11.19,11.97,868,213,32.16,-50.1,20.0,Success,3.686,125.0,12,4/5,29.973,92.83,-94.13,109.55,0.462,19.58,3,8.17,110.13,14.7,0.0374,12.742,97.08,83.05,3.264,59.0,22.58,53.31,995.36,1.03,0.13,0.779,414.23,74.21,0,5,89.71
Environmental_Node,Industrial,Rain,10.133,29.31,470,197,23.79,-35.0,17.85,Success,3.992,7.8,11,4/6,28.203,42.13,-86.24,376.68,0.692,23.48,1,6.6,116.13,17.49,0.0338,11.36,100.0,16.96,3.164,53.51,14.69,90.97,1029.84,0.8,0.96,0.956,144.43,38.68,3,6,100.0
Sensor_Node,Urban,Heavy_Rain,7.934,29.7,470,219,90.87,-35.0,20.0,Success,3.762,125.0,11,4/5,24.195,72.08,-98.69,131.01,0.658,28.48,2,13.94,102.67,0.93,0.0265,9.711,95.54,45.08,4.071,48.95,13.86,74.58,1015.24,10.35,4.91,0.972,132.97,36.92,0,4,100.0
Sensor_Node,Rural,Cloudy,13.582,25.78,433,66,87.79,-51.76,16.56,Success,2.783,62.5,10,4/7,21.333,72.31,-85.18,290.26,0.89,32.92,3,13.56,94.4,14.98,0.0454,15.477,88.05,48.32,3.984,48.09,27.32,92.81,996.55,8.04,1.3,0.286,403.1,61.29,3,7,90.83
Sensor_Node,Urban,Windy,19.448,19.08,915,215,85.15,-71.43,17.69,Failure,3.767,15.6,10,4/8,50.873,30.18,-81.57,122.94,0.173,14.78,2,6.59,137.7,16.1,0.065,20.039,79.07,40.38,3.992,65.45,29.17,41.1,992.13,11.72,3.54,0.702,454.77,34.34,9,4,100.0
Sensor_Node,Rural,Clear,9.682,19.93,915,160,83.94,-35.0,20.0,Success,2.999,125.0,8,4/7,24.739,14.06,-72.22,172.38,0.742,18.99,0,7.85,82.75,5.08,0.0323,10.633,100.0,63.17,3.987,40.95,17.58,83.21,1013.5,9.46,3.22,0.307,429.0,40.88,4,4,100.0
Tracking_Device,Urban,Heavy_Rain,2.851,18.71,433,161,75.66,-35.0,16.12,Success,2.992,250.0,8,4/8,8.333,19.3,-86.76,466.63,0.511,6.99,2,2.77,82.65,0.95,0.0095,3.184,95.61,40.34,3.878,24.52,36.38,84.54,1017.64,11.64,2.18,0.666,471.38,37.94,4,7,100.0
Environmental_Node,Industrial,Clear,21.402,15.87,470,28,88.73,-69.68,19.06,Success,1.726,250.0,7,4/5,12.036,41.09,-79.73,233.49,0.029,10.98,1,0.0,103.15,27.76,0.0715,22.758,80.75,12.89,4.041,64.01,26.05,65.85,1020.2,5.01,0.46,0.384,382.32,39.84,4,1,100.0
Industrial_Node,Industrial,Rain,14.041,20.56,868,175,28.92,-48.47,18.86,Success,3.431,31.25,7,4/8,42.119,91.12,-71.72,340.11,0.952,26.38,2,13.81,111.79,10.34,0.0469,14.907,100.0,93.53,3.233,41.19,13.42,66.9,1000.32,14.61,1.81,0.11,129.71,51.81,6,1,99.23
Sensor_Node,Suburban,Foggy,16.916,11.07,433,185,88.34,-65.98,12.98,Failure,2.768,250.0,11,4/5,59.609,39.41,-92.24,110.77,0.557,22.91,1,12.28,121.34,18.51,0.0565,18.902,81.82,33.09,3.996,27.55,14.52,91.44,998.29,14.93,3.39,0.545,404.66,54.08,5,6,94.24
Industrial_Node,Urban,Foggy,13.934,29.84,915,31,92.6,-35.93,20.0,Success,2.976,250.0,11,4/6,40.911,85.81,-76.91,350.04,0.126,3.42,1,0.0,87.33,9.34,0.0465,15.445,99.25,33.89,4.104,37.33,20.16,40.25,1022.62,1.79,1.42,0.697,373.81,75.09,8,3,100.0
Industrial_Node,Industrial,Clear,26.766,18.48,915,111,74.44,-71.58,14.53,Failure,2.863,7.8,10,4/8,5.578,77.61,-96.93,488.92,0.692,24.7,0,7.67,123.74,17.91,0.0894,27.337,77.88,88.42,3.824,46.83,15.0,75.05,1004.83,8.24,0.61,0.522,210.64,51.31,8,7,98.29
Sensor_Node,Urban,Cloudy,16.983,28.55,433,32,63.94,-46.19,19.26,Failure,2.974,7.8,10,4/7,31.637,53.38,-90.59,353.72,0.533,13.59,4,4.92,104.47,7.59,0.0567,18.713,88.52,28.86,3.723,38.77,28.87,40.02,1020.58,12.37,0.82,0.598,245.2,36.07,3,5,100.0
Smart_Meter,Rural,Clear,27.737,24.49,470,40,31.25,-75.17,7.04,Failure,2.546,125.0,7,4/5,36.809,14.99,-89.75,245.01,0.077,5.19,2,0.0,133.6,5.2,0.0926,28.176,66.4,39.91,3.277,58.03,15.85,47.45,999.07,17.91,1.1,0.138,234.9,30.01,5,5,100.0
Smart_Meter,Suburban,Windy,15.562,15.8,923,202,87.95,-58.79,12.06,Failure,3.459,62.5,7,4/8,34.538,70.01,-88.22,60.29,0.411,14.03,1,6.9,104.01,29.75,0.052,16.585,69.13,83.76,4.03,31.06,24.23,34.94,1009.35,11.76,0.98,0.107,284.43,53.43,1,5,95.08
Industrial_Node,Industrial,Rain,9.131,14.44,868,57,61.91,-48.84,19.2,Success,2.194,7.8,7,4/6,10.164,67.43,-88.45,268.85,0.497,19.23,2,2.16,79.53,5.16,0.0305,10.444,91.39,91.6,3.598,51.88,12.69,49.41,1034.76,18.09,15.64,0.624,205.43,59.13,6,3,100.0
Industrial_Node,Industrial,Cloudy,10.986,29.91,923,71,64.96,-35.0,19.42,Success,2.882,7.8,12,4/8,40.134,46.68,-78.95,121.21,0.955,23.08,2,15.14,96.95,28.01,0.0367,12.187,94.1,30.93,3.698,29.05,28.49,55.73,1010.56,6.59,0.88,0.507,423.86,52.62,1,6,91.0
Sensor_Node,Suburban,Clear,15.903,25.44,868,45,64.59,-52.12,20.0,Failure,2.721,250.0,12,4/5,1.603,47.79,-83.88,372.05,0.642,16.25,0,8.69,71.14,10.43,0.0531,17.697,87.93,59.67,3.745,35.82,31.94,67.39,997.88,10.68,0.25,0.907,429.9,56.22,1,5,100.0
Smart_Meter,Industrial,Foggy,16.135,14.99,923,236,88.01,-54.88,12.48,Success,3.657,62.5,9,4/6,45.589,8.98,-91.31,164.47,0.638,9.53,1,4.16,115.15,11.26,0.0539,17.234,81.01,92.1,4.054,29.24,16.99,39.06,1008.66,4.17,0.97,0.743,106.15,27.69,4,4,100.0
Industrial_Node,Industrial,Cloudy,20.776,11.35,923,41,22.33,-75.05,11.46,Failure,1.584,7.8,7,4/6,16.22,37.6,-95.68,78.24,0.908,31.86,1,16.44,100.84,22.27,0.0694,22.463,77.61,33.12,3.087,24.1,32.49,26.02,1009.23,7.16,0.0,0.798,316.9,55.56,3,1,82.91
Industrial_Node,Industrial,Clear,7.123,23.94,868,198,15.55,-39.15,20.0,Success,3.351,62.5,8,4/8,57.838,43.6,-75.89,71.6,0.021,0.0,0,0.0,71.48,11.68,0.0238,7.593,100.0,79.88,3.035,22.59,42.22,93.64,1027.81,13.09,0.55,0.413,148.23,32.88,7,7,100.0
Tracking_Device,Rural,Cloudy,19.936,16.06,868,91,30.16,-60.14,16.2,Failure,2.422,7.8,12,4/6,23.014,20.77,-73.38,74.74,0.395,13.16,0,10.08,90.07,18.32,0.0666,21.185,81.0,19.34,3.21,45.2,44.22,73.09,982.84,8.29,2.67,0.534,250.59,47.64,9,3,92.37
Industrial_Node,Urban,Clear,23.468,14.43,915,56,54.26,-74.27,15.76,Success,2.083,7.8,11,4/7,4.64,23.15,-82.09,347.64,0.467,11.91,2,2.26,127.95,3.91,0.0784,24.168,85.32,59.15,3.61,44.0,23.3,65.25,1012.86,9.57,11.45,0.647,54.47,13.65,3,1,100.0
Sensor_Node,Suburban,Rain,20.459,24.7,470,192,52.25,-56.33,20.0,Failure,3.508,250.0,12,4/6,59.437,29.18,-107.18,25.76,0.634,11.14,0,7.51,118.79,28.57,0.0683,21.592,88.91,23.77,3.521,62.53,30.78,42.42,1030.82,7.16,2.62,0.121,482.8,54.12,9,1,94.9
Sensor_Node,Industrial,Foggy,14.714,23.59,470,139,56.08,-43.37,19.01,Success,3.288,15.6,9,4/5,38.26,50.82,-86.59,481.58,0.926,22.1,2,10.7,115.27,16.86,0.0491,16.373,79.72,92.58,3.577,33.85,27.5,57.02,1012.85,9.49,1.26,0.645,291.13,36.9,5,1,92.12
Industrial_Node,Urban,Windy,29.755,19.63,915,105,20.29,-85.01,9.71,Failure,2.772,31.25,7,4/6,34.057,11.64,-88.12,99.68,0.031,0.0,1,0.0,106.57,11.45,0.0994,31.589,62.37,73.91,3.041,16.21,41.96,81.7,1021.94,13.61,1.58,0.612,32.23,6.34,8,3,100.0
Sensor_Node,Rural,Cloudy,12.442,28.85,923,96,81.36,-48.62,16.45,Success,3.229,7.8,8,4/8,21.643,49.07,-86.67,165.67,0.044,5.07,0,0.0,91.91,9.62,0.0416,14.191,88.84,63.46,3.88,55.61,15.24,35.71,1025.23,4.35,2.68,0.801,277.21,47.01,5,4,100.0
Industrial_Node,Industrial,Windy,3.644,23.59,868,184,37.19,-35.0,20.0,Success,3.442,250.0,12,4/6,27.477,37.31,-70.17,86.04,0.38,11.39,2,6.27,96.02,9.93,0.0122,4.05,100.0,58.54,3.333,41.28,24.12,51.88,1017.4,1.42,1.31,0.305,360.81,57.8,7,1,100.0
Tracking_Device,Urban,Cloudy,24.734,27.87,433,33,92.19,-57.2,18.95,Success,2.656,125.0,7,4/8,27.029,51.36,-75.96,441.81,0.66,24.91,0,15.7,90.54,20.24,0.0826,25.709,91.59,55.76,4.066,19.9,44.13,65.01,1015.66,2.85,1.62,0.334,393.37,46.48,5,2,96.94
Industrial_Node,Rural,Clear,6.76,13.81,923,37,85.6,-37.02,17.64,Success,1.962,250.0,12,4/6,16.595,54.72,-74.86,19.1,0.203,9.21,2,1.42,61.19,17.41,0.0226,8.375,88.16,57.32,3.985,24.47,40.82,60.71,1036.94,11.35,3.46,0.835,101.68,43.59,4,2,100.0
Smart_Meter,Suburban,Foggy,21.542,15.93,470,116,15.71,-69.51,13.82,Failure,2.834,15.6,9,4/6,20.99,79.83,-72.45,358.47,0.567,21.71,3,7.7,123.99,8.82,0.072,22.807,73.01,86.12,3.096,33.89,29.05,52.74,1001.31,5.37,0.58,0.126,356.29,73.46,3,4,92.4
Industrial_Node,Suburban,Clear,5.78,12.09,868,154,14.82,-41.13,19.86,Success,2.402,7.8,10,4/8,56.355,38.1,-85.56,57.13,0.139,4.45,3,0.0,113.93,2.48,0.0193,6.679,93.14,37.38,3.03,42.66,12.08,58.36,1007.19,4.11,2.53,0.659,60.81,21.51,0,7,100.0
Industrial_Node,Suburban,Clear,0.998,16.09,915,221,66.61,-35.0,20.0,Success,4.032,250.0,8,4/6,10.67,79.67,-85.03,499.83,0.335,12.88,3,3.29,96.97,16.73,0.0033,1.569,100.0,34.61,3.736,52.44,29.12,68.25,1012.92,15.57,1.65,0.526,21.08,25.18,2,6,100.0
Industrial_Node,Suburban,Foggy,5.214,29.44,923,207,16.95,-35.0,20.0,Success,4.332,62.5,10,4/8,29.863,13.18,-81.25,194.63,0.989,24.41,1,11.74,106.52,5.12,0.0174,6.59,95.82,68.59,3.037,58.68,32.26,84.93,1028.46,5.32,0.19,0.523,22.85,17.33,5,5,100.0
Tracking_Device,Urban,Clear,11.621,29.26,433,205,61.47,-37.82,19.49,Success,4.103,125.0,7,4/5,54.335,7.35,-87.13,161.87,0.262,9.26,1,2.51,112.84,29.19,0.0388,12.136,93.9,57.5,3.632,63.25,42.71,37.13,1028.48,6.1,5.9,0.87,366.53,22.26,2,7,100.0
Smart_Meter,Industrial,Heavy_Rain,3.645,25.21,923,241,17.12,-35.0,20.0,Success,4.194,31.25,11,4/8,46.214,21.43,-87.31,196.02,0.739,19.54,2,8.69,106.87,22.58,0.0122,5.528,98.69,37.88,3.076,51.65,22.57,33.51,1019.29,13.04,1.14,0.499,196.48,29.86,8,7,100.0
Tracking_Device,Suburban,Foggy,6.332,20.42,915,142,53.14,-35.0,18.28,Failure,2.776,7.8,10,4/7,59.827,55.25,-74.43,183.4,0.713,28.56,2,19.85,103.71,2.53,0.0211,7.122,98.89,69.52,3.556,46.96,21.37,65.37,1020.35,3.96,1.35,0.545,149.67,40.57,4,5,90.18
Tracking_Device,Industrial,Cloudy,23.056,25.62,433,74,47.72,-67.47,13.61,Failure,2.756,7.8,11,4/7,46.996,75.84,-76.76,88.17,0.381,10.41,4,3.45,130.88,20.56,0.077,24.117,86.15,52.63,3.494,37.32,14.82,34.88,992.32,10.98,0.22,0.294,131.9,48.14,6,6,100.0
Sensor_Node,Rural,Clear,23.212,21.07,923,53,63.18,-62.92,14.23,Failure,2.557,31.25,10,4/6,2.383,91.74,-100.72,435.87,0.446,22.01,2,12.7,123.01,29.1,0.0775,25.094,84.88,51.87,3.758,32.94,14.89,76.76,1014.01,3.44,0.78,0.347,389.29,82.99,7,2,86.57
Sensor_Node,Rural,Cloudy,24.616,10.07,915,146,42.06,-80.66,11.28,Failure,2.463,7.8,9,4/8,12.86,29.17,-83.7,316.85,0.802,19.43,0,7.87,117.22,17.76,0.0822,25.132,67.63,24.66,3.446,62.31,38.47,48.2,1019.32,9.92,2.46,0.246,83.09,30.4,9,4,95.51
Sensor_Node,Industrial,Clear,25.314,20.03,923,64,22.6,-64.82,18.07,Success,2.31,62.5,8,4/6,55.893,34.77,-71.41,174.78,0.06,8.43,1,0.0,118.93,15.36,0.0845,25.62,85.95,22.62,3.154,54.36,22.85,79.47,1006.92,6.48,2.1,0.029,326.01,43.28,2,7,100.0
Sensor_Node,Suburban,Cloudy,12.903,21.98,868,22,85.79,-51.02,20.0,Success,2.182,62.5,10,4/6,57.035,27.78,-74.95,188.1,0.751,19.52,0,10.38,72.16,29.6,0.0431,14.857,88.67,78.32,3.974,27.21,37.6,41.04,997.43,12.17,0.36,0.594,92.94,13.07,5,5,100.0
Sensor_Node,Industrial,Windy,26.093,15.31,923,187,36.94,-69.85,17.44,Failure,3.194,250.0,9,4/5,33.204,33.05,-81.02,37.96,0.55,14.32,2,8.34,126.07,9.35,0.0872,26.37,83.71,57.54,3.257,32.03,38.72,94.92,1012.69,15.3,0.99,0.627,270.41,35.14,4,7,100.0
Industrial_Node,Industrial,Cloudy,16.015,14.07,915,95,16.07,-58.54,13.15,Failure,2.227,7.8,11,4/7,27.3,40.53,-68.23,194.99,0.921,27.55,0,15.95,95.79,19.24,0.0535,17.198,76.68,43.53,3.109,24.02,33.5,67.76,1023.36,2.56,2.48,0.358,337.2,40.69,6,4,98.57
Sensor_Node,Suburban,Cloudy,14.383,15.48,470,119,55.05,-53.22,14.91,Failure,2.632,31.25,8,4/7,37.638,60.34,-85.66,383.53,0.51,14.3,1,7.4,95.73,23.49,0.048,15.389,91.87,85.41,3.567,57.97,42.18,77.76,1025.26,5.99,0.48,0.538,20.96,24.18,2,6,100.0
Smart_Meter,Industrial,Rain,21.697,22.47,915,72,88.99,-67.09,11.28,Success,2.685,7.8,9,4/6,54.048,55.04,-84.14,204.34,0.486,12.8,3,10.23,109.21,22.25,0.0725,23.399,77.18,80.3,4.074,59.22,20.79,85.58,1000.67,12.13,7.73,0.566,57.93,40.58,0,4,100.0
Environmental_Node,Urban,Rain,6.808,12.92,923,178,35.26,-43.34,20.0,Success,2.795,250.0,7,4/7,28.308,10.22,-100.56,225.94,0.888,27.15,0,9.68,72.36,8.64,0.0227,7.805,95.76,73.43,3.249,16.94,26.57,32.71,1026.76,5.85,1.42,0.314,92.05,4.77,3,2,100.0
Sensor_Node,Industrial,Windy,23.79,24.41,868,42,50.57,-71.83,16.0,Success,2.296,7.8,9,4/6,38.606,52.41,-82.11,93.59,0.429,11.87,0,3.76,95.35,14.14,0.0795,25.382,93.64,50.45,3.482,57.12,29.54,53.1,1026.64,12.37,2.54,0.971,173.06,40.91,7,5,100.0
Environmental_Node,Suburban,Clear,13.169,18.45,470,219,46.23,-53.0,16.28,Failure,3.592,15.6,10,4/7,14.161,74.52,-65.17,77.56,0.518,21.39,3,13.13,142.27,5.79,0.044,15.079,82.06,39.23,3.408,47.53,33.49,26.86,1022.35,16.86,2.39,0.44,35.42,35.49,0,6,100.0
Smart_Meter,Rural,Windy,4.255,17.07,915,84,14.35,-35.0,20.0,Failure,2.416,31.25,7,4/6,33.299,64.51,-82.12,353.23,0.695,14.6,3,7.27,87.76,2.8,0.0142,5.578,97.17,41.95,2.942,50.06,39.0,41.8,1018.95,6.79,8.17,0.658,200.68,59.6,4,6,96.67
Sensor_Node,Rural,Rain,4.02,26.14,470,202,88.15,-35.0,19.79,Success,3.737,125.0,10,4/6,8.533,63.83,-80.11,340.78,0.306,13.75,3,4.08,105.52,8.41,0.0134,5.234,98.91,82.79,4.01,65.83,16.28,79.4,1017.59,10.55,1.26,0.126,413.71,64.04,3,7,100.0
Industrial_Node,Rural,Clear,5.365,20.12,868,246,78.3,-35.0,18.74,Success,3.917,31.25,11,4/8,1.515,13.34,-83.62,312.16,0.795,22.24,1,11.45,114.77,4.45,0.0179,5.827,96.11,63.3,3.871,57.98,32.4,85.92,1008.44,5.78,0.64,0.115,383.5,43.81,4,5,99.38
Industrial_Node,Urban,Clear,26.772,17.57,433,130,18.62,-78.33,12.49,Failure,2.904,62.5,10,4/5,34.754,51.59,-77.91,386.54,0.779,25.8,0,12.8,129.42,5.01,0.0894,28.397,63.29,41.02,3.001,41.11,24.08,72.8,1017.76,17.19,1.47,0.167,305.56,53.73,6,7,94.36
Tracking_Device,Suburban,Cloudy,29.733,27.56,470,98,21.89,-77.91,9.54,Failure,2.95,62.5,8,4/8,41.979,28.68,-87.95,234.48,0.826,21.03,0,6.5,117.68,13.95,0.0993,31.34,62.47,34.42,3.136,62.27,38.6,79.52,1012.8,18.28,7.63,0.359,223.06,37.66,3,1,100.0
